"motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA0028.2",213,3084,18.236301369863,7.71,2.3652790362987,1.18260999299398e-32,"ELK1",4.64330028828163e-31
"MA0475.2",209,3053,17.8938356164384,7.6325,2.34442654653631,1.76537297858181e-31,"FLI1",6.58484121011015e-30
"MA0599.1",790,20455,67.6369863013699,51.1375,1.32264945101677,3.60006844731649e-31,"KLF5",1.27888145795148e-29
"MA0098.3",212,3170,18.1506849315068,7.925,2.29030724687784,1.4737891271591e-30,"ETS1",4.99748494936678e-29
"MA0162.4",572,13327,48.972602739726,33.3175,1.46987627342166,2.60241206339064e-29,"EGR1",8.44086695343226e-28
"MA0742.1",379,7592,32.4486301369863,18.98,1.70962224114786,6.42526533589022e-29,"Klf12",1.99718664190588e-27
"MA1653.1",763,19830,65.3253424657534,49.575,1.31770736189114,2.4712475796215e-28,"ZNF148",7.37420277759054e-27
"MA0641.1",239,3981,20.4623287671233,9.9525,2.05599887135125,1.03336385851698e-27,"ELF4",2.96495937866795e-26
"MA0146.2",441,9535,37.7568493150685,23.8375,1.58392655752778,3.2606895528068e-27,"Zfx",9.00916446812546e-26
"MA0763.1",194,2937,16.6095890410959,7.3425,2.26211631475599,3.47567818150681e-27,"ETV3",9.26019972644315e-26
"MA1483.1",222,3608,19.0068493150685,9.02,2.10718950277921,4.8181687566649e-27,"ELF2",1.23943237671449e-25
"MA0741.1",709,18176,60.7020547945205,45.44,1.33587268473857,1.71657564667665e-26,"KLF16",4.26855144140259e-25
"MA0474.2",198,3094,16.9520547945205,7.735,2.19160372262709,4.67416327543505e-26,"ERG",1.12481477531437e-24
"MA0748.2",205,3272,17.5513698630137,8.18,2.14564423753224,7.49128509201692e-26,"YY2",1.74640583707644e-24
"MA0747.1",624,15444,53.4246575342466,38.61,1.383700013837,1.73677275385524e-25,"SP8",3.92615901326063e-24
"MA0760.1",198,3236,16.9520547945205,8.09,2.09543322552788,1.05439972951987e-23,"ERF",2.3134770535936e-22
"MA1511.1",540,13102,46.2328767123288,32.755,1.41147539955209,1.89847433436276e-22,"KLF10",4.04646243838462e-21
"MA1596.1",610,15373,52.2260273972603,38.4325,1.35890268385508,2.18963542358809e-22,"ZNF460",4.5374111833242e-21
"MA1484.1",198,3421,16.9520547945205,8.5525,1.98211690085011,6.57308192437587e-21,"ETS2",1.32527543664443e-19
"MA0039.4",747,20262,63.9554794520548,50.655,1.26256992304915,1.00643471881931e-20,"KLF4",1.97579026378738e-19
"MA0516.2",599,15296,51.2842465753425,38.24,1.34111523471084,2.97122076570888e-20,"SP2",5.68341202876622e-19
"MA1122.1",246,4712,21.0616438356164,11.78,1.78791543596065,3.57217311141159e-20,"TFDP1",6.66210285278262e-19
"MA0732.1",375,8380,32.1061643835616,20.95,1.53251381305783,1.09998968860484e-19,"EGR3",2.0014446529249e-18
"MA0471.2",495,12055,42.3801369863014,30.1375,1.40622603023812,1.69706952712571e-19,"E2F6",3.01431873151377e-18
"MA0527.1",134,2070,11.472602739726,5.175,2.21692806564754,5.06472071410931e-18,"ZBTB33",8.78670151796639e-17
"MA1099.2",182,3304,15.5821917808219,8.26,1.88646389598328,5.01494232789998e-17,"HES1",8.50260676503041e-16
"MA0657.1",220,4299,18.8356164383562,10.7475,1.7525579379722,5.82315661265774e-17,"KLF13",9.65349962898372e-16
"MA0472.2",233,4735,19.9486301369863,11.8375,1.68520634736949,4.91994808036711e-16,"EGR2",7.97887232163884e-15
"MA1102.2",425,10405,36.3869863013699,26.0125,1.39882696016799,1.45671437383549e-15,"CTCFL",2.31214664442825e-14
"MA0136.2",238,4938,20.3767123287671,12.345,1.65060448187664,2.29592675667214e-15,"ELF5",3.56825283432796e-14
"MA0632.2",224,4582,19.1780821917808,11.455,1.674210579815,4.3445605216228e-15,"TCFL5",6.61437173291961e-14
"MA0598.3",366,8743,31.3356164383562,21.8575,1.43363222867923,1.52266427908735e-14,"EHF",2.27181510439833e-13
"MA0733.1",314,7248,26.8835616438356,18.12,1.48364026731985,4.01170699428622e-14,"EGR4",5.86810474066181e-13
