"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.07469812457108e-06,-0.828181395472272,0.115,0.213,0.0277336598026812,"Hspa12a"
1.10775470290346e-06,-1.28244959588381,0.049,0.123,0.0285867178631268,"Kctd8"
1.11037711650416e-06,-0.293462949494847,0.944,0.959,0.0286543918685063,"Pbx1"
1.12905200003221e-06,-0.326235114832821,0.831,0.866,0.0291363159128313,"Cdh2"
1.15419085850766e-06,-0.901929735453584,0.127,0.224,0.0297850492946487,"Fbxo34"
1.17271001537085e-06,-0.303082996504898,0.905,0.937,0.0302629546566602,"Tnik"
1.21831677685223e-06,-0.610274651680023,0.261,0.371,0.0314398827434487,"Rundc3b"
1.37194678148322e-06,-0.775506372647858,0.059,0.138,0.0354044586429559,"C130073E24Rik"
1.37953603158229e-06,-0.556190679295153,0.303,0.42,0.0356003068310126,"Myh10"
1.38011948474977e-06,-1.26147212214072,0.068,0.147,0.0356153634234527,"Slc12a5"
1.38915817974628e-06,1.03187352184496,0.254,0.164,0.0358486159865325,"Tyrobp"
1.46085766853002e-06,-0.417747863091698,0.81,0.846,0.0376988929940857,"Tnr"
1.57772700826512e-06,-0.471033854344069,0.873,0.89,0.0407148231752896,"Ptprg"
1.65569211125317e-06,-0.771239424087141,0.887,0.903,0.0427267906229993,"Dcc"
1.68232702271074e-06,0.342824018514772,0.699,0.606,0.0434141311480735,"Lgmn"
1.74458743670972e-06,-1.06035909805807,0.086,0.172,0.045020823391731,"Grb10"
1.75246882534635e-06,-0.877217981956831,0.129,0.226,0.045224210506888,"Nexmif"
1.75487839584433e-06,-0.539902778102505,0.325,0.444,0.0452863918831587,"Rgs17"
1.86613270637258e-06,-0.441200145481872,0.871,0.883,0.0481574206206508,"Schip1"
1.89737873283486e-06,-1.24573888672963,0.056,0.13,0.0489637555795363,"Shank3"
2.00432362039463e-06,-0.606075152176115,0.332,0.441,0.0517235753479039,"Mlip"
2.04725017772398e-06,0.362149511756745,0.873,0.799,0.052831338086345,"Cux1"
2.06188280864712e-06,-0.417142542539393,0.936,0.956,0.0532089477599476,"Ank3"
2.07612067396281e-06,-1.27389851284054,0.039,0.106,0.0535763701122843,"Zmat3"
2.10228220651097e-06,-0.886786804968304,0.328,0.435,0.0542514946212221,"Ntng1"
2.12431175543369e-06,-0.916237572137468,0.083,0.164,0.0548199891607217,"Ppp4r4"
2.13561367913902e-06,-0.434043489592478,0.817,0.846,0.0551116466038615,"Erc1"
2.15166459452514e-06,-1.06698898172408,0.063,0.14,0.0555258565263157,"Zfp131"
2.15482959843155e-06,-0.521247013158227,0.868,0.884,0.0556075326171245,"Epha6"
2.18381331916948e-06,0.563836814965632,0.508,0.419,0.0563554865144875,"Acer3"
2.19118479548949e-06,0.980475891865281,0.154,0.079,0.0565457148324019,"Cd300lf"
