"motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA1656.1",30,6676,17.0454545454545,16.69,1.02129745628847,0.480934974761292,"ZNF449",1
"MA0070.1",10,2165,5.68181818181818,5.4125,1.04975855553223,0.483584297951787,"PBX1",1
"MA0112.3",12,2629,6.81818181818182,6.5725,1.03738026902728,0.490571074247604,"ESR1",1
"MA0024.3",4,828,2.27272727272727,2.07,1.09793588054458,0.495640192460208,"E2F1",1
"MA1528.1",24,5366,13.6363636363636,13.415,1.01650120285976,0.499007628913234,"NFIX(var.2)",1
"MA1585.1",11,2422,6.25,6.055,1.03220478943022,0.501243922260892,"ZKSCAN1",1
"MA0779.1",7,1515,3.97727272727273,3.7875,1.05010501050105,0.501650335434917,"PAX1",1
"MA1502.1",5,1064,2.84090909090909,2.66,1.06801093643199,0.503959508880979,"HOXB8",1
"MA0910.2",5,1064,2.84090909090909,2.66,1.06801093643199,0.503959508880979,"HOXD8",1
"MA1550.1",19,4247,10.7954545454545,10.6175,1.01676049403857,0.505454935485491,"PPARD",1
"MA0778.1",10,2216,5.68181818181818,5.54,1.02559894978668,0.513421014591953,"NFKB2",1
"MA1476.1",6,1304,3.40909090909091,3.26,1.0457334076966,0.513614952062859,"DLX5",1
"MA0843.1",6,1308,3.40909090909091,3.27,1.04253544620517,0.516607126541399,"TEF",1
"MA0856.1",18,4065,10.2272727272727,10.1625,1.00637370010064,0.525320646667688,"RXRG",1
"MA0483.1",25,5665,14.2045454545455,14.1625,1.00296878761133,0.526557297852131,"Gfi1b",1
"MA0608.1",10,2240,5.68181818181818,5.6,1.01461038961039,0.527296579018479,"Creb3l2",1
"MA0154.4",31,7059,17.6136363636364,17.6475,0.998081108578346,0.535765632962895,"EBF1",1
"MA1651.1",25,5697,14.2045454545455,14.2425,0.997335120557869,0.538671510684938,"ZFP42",1
"MA0861.1",8,1800,4.54545454545455,4.5,1.01010101010101,0.539088635225801,"TP73",1
"MA0639.1",6,1346,3.40909090909091,3.365,1.01310279616372,0.544673136030188,"DBP",1
"MA0757.1",13,2973,7.38636363636364,7.4325,0.993792618414213,0.550635296228187,"ONECUT3",1
"MA1565.1",25,5762,14.2045454545455,14.405,0.986084377267994,0.563041684965274,"TBX18",1
"MA1493.1",9,2080,5.11363636363636,5.2,0.983391608391608,0.568517829725814,"HES6",1
"MA0829.2",11,2555,6.25,6.3875,0.978473581213307,0.573778712323201,"SREBF1(var.2)",1
"MA1420.1",9,2103,5.11363636363636,5.2575,0.97263649332123,0.581897047176358,"IRF5",1
"MA1532.1",14,3272,7.95454545454545,8.18,0.972438319626584,0.583420329245819,"NR1D2",1
"MA0859.1",15,3511,8.52272727272727,8.7775,0.970974340384765,0.586454768798106,"Rarg",1
"MA0611.1",8,1884,4.54545454545455,4.71,0.965064659332175,0.591242422917781,"Dux",1
"MA0891.1",7,1654,3.97727272727273,4.135,0.96185555677696,0.595034677956188,"GSC2",1
"MA1594.1",15,3535,8.52272727272727,8.8375,0.964382152500964,0.59732089411478,"ZNF382",1
"MA0160.1",16,3769,9.09090909090909,9.4225,0.964808606092767,0.597763018164653,"NR4A2",1
"MA0141.3",16,3770,9.09090909090909,9.425,0.96455268869062,0.598200436466038,"ESRRB",1
"MA0648.1",7,1660,3.97727272727273,4.15,0.958378970427163,0.598871757581887,"GSC",1
"MA0895.1",6,1429,3.40909090909091,3.5725,0.954259176792417,0.60334462980879,"HMBOX1",1
"MA0635.1",4,950,2.27272727272727,2.375,0.956937799043062,0.604006604940088,"BARHL2",1
"MA0755.1",3,709,1.70454545454545,1.7725,0.961661751506603,0.605744407552436,"CUX2",1
"MA1567.1",15,3555,8.52272727272727,8.8875,0.958956655159187,0.606285795801555,"TBX6",1
"MA0106.3",8,1910,4.54545454545455,4.775,0.951927653498334,0.606813982036927,"TP53",1
"MA0649.1",8,1913,4.54545454545455,4.7825,0.950434823931949,0.608591680690869,"HEY2",1
"MA1576.1",20,4742,11.3636363636364,11.855,0.958552202752962,0.614832440071482,"THRB(var.3)",1
"MA1541.1",18,4280,10.2272727272727,10.7,0.955819881053526,0.616585287080038,"NR6A1",1
"MA0031.1",10,2403,5.68181818181818,6.0075,0.945787462641395,0.617546390820296,"FOXD1",1
"MA0157.2",10,2403,5.68181818181818,6.0075,0.945787462641395,0.617546390820296,"FOXO3",1
"MA1123.2",22,5215,12.5,13.0375,0.958772770853308,0.617684221014751,"TWIST1",1
"MA0036.3",11,2643,6.25,6.6075,0.945894816496406,0.619350707369648,"GATA2",1
"MA0724.1",4,971,2.27272727272727,2.4275,0.936241924913398,0.621204708751375,"VENTX",1
"MA0774.1",14,3358,7.95454545454545,8.395,0.947533705127511,0.623083717325494,"MEIS2",1
"MA1601.1",34,8012,19.3181818181818,20.03,0.964462397313121,0.623199547429201,"ZNF75D",1
"MA0838.1",3,728,1.70454545454545,1.82,0.936563436563436,0.623617225963607,"CEBPG",1
"MA0671.1",14,3365,7.95454545454545,8.4125,0.945562609752803,0.626235057277007,"NFIX",1
