"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.40301252737105,0.882,0.049,0,"26","Oprk1"
0,5.38980999863919,0.72,0.028,0,"26","Col24a1"
0,5.18763054633167,0.311,0.007,0,"26","BB557941"
0,4.99655162375107,0.783,0.053,0,"26","Fap"
0,4.87880625989196,0.46,0.019,0,"26","Gm34567"
1.66187032255592e-293,4.87094721886154,0.975,0.118,4.28862255438781e-289,"26","Ntng2"
0,4.65597203069886,0.516,0.02,0,"26","6530402F18Rik"
4.5929705075328e-183,3.78918261004242,0.342,0.017,1.18526196917391e-178,"27","Vav1"
5.08302865023702e-230,3.78711781320193,0.493,0.029,1.31172637348017e-225,"27","Pik3ap1"
0,3.78039888222461,0.711,0.039,0,"27","Gm10790"
0,3.74911389872362,0.743,0.042,0,"27","Ly86"
3.34134436827468e-143,3.72023525632493,0.263,0.013,8.62267327676964e-139,"27","Naip2"
0,3.6387151155086,0.816,0.052,0,"27","Dock8"
3.80004757483622e-212,3.63776514479331,0.487,0.031,9.80640277162236e-208,"27","Nckap1l"
1.70619056355917e-203,3.62265524343155,0.447,0.027,4.4029953683208e-199,"27","Cd180"
8.81347749712197e-194,3.6112462382673,0.375,0.02,2.2744060029073e-189,"27","Havcr2"
0,3.61076302173032,0.711,0.042,0,"27","Fyb"
0,7.46958234912179,0.608,0.008,0,"28","Tbx3os1"
0,7.45363858918071,0.328,0.004,0,"28","Pla1a"
0,7.41356114980537,0.56,0.006,0,"28","Kcnj8"
0,7.19855118504821,0.48,0.007,0,"28","Carmn"
0,7.13908363099238,0.96,0.019,0,"28","Vtn"
0,7.11062006586671,0.6,0.01,0,"28","Slc38a11"
0,7.06588093236678,0.704,0.009,0,"28","Abcc9"
0,7.00566922217269,0.976,0.051,0,"28","Atp13a5"
1.46091850591123e-285,6.84964327483938,0.256,0.005,3.77004629635452e-281,"28","Gper1"
0,6.76837589321747,0.592,0.015,0,"28","Morrbid"
0,13.5392626880596,0.491,0,0,"29","Fam216b"
0,12.1637535529674,0.321,0,0,"29","Sntn"
0,11.8166006319229,0.696,0.001,0,"29","Tmem212"
0,11.1706180942652,0.482,0,0,"29","Zfp474"
0,11.1522395649503,0.384,0.001,0,"29","Gm12695"
0,10.7793137758925,0.812,0.001,0,"29","C230072F16Rik"
0,10.7307941456913,0.625,0.001,0,"29","Ccdc180"
0,10.6647935701434,0.777,0.002,0,"29","Wdr63"
0,10.6335900706077,0.536,0.001,0,"29","Dthd1"
0,10.458920579742,0.589,0.001,0,"29","Ccdc153"
1.05097368096487e-33,5.63211966286177,0.252,0.038,2.71214268109795e-29,"30","9630013A20Rik"
1.55561475385157e-244,5.16442364765178,0.387,0.013,4.01441943378937e-240,"30","Gpr17"
0,5.14193046860515,0.477,0.013,0,"30","Neu4"
1.23109995493861e-221,5.00887028246847,0.288,0.008,3.17697654371459e-217,"30","Mroh3"
1.3744825252704e-138,4.75598225650964,0.261,0.01,3.54698960471279e-134,"30","Inava"
1.72558306631961e-150,4.70949342124942,0.27,0.01,4.4530396609444e-146,"30","Tmem255b"
8.72741275573979e-242,4.52955463117909,0.423,0.015,2.25219613574621e-237,"30","A930009A15Rik"
5.42747174912985e-241,4.43649429551686,0.928,0.082,1.40061335958045e-236,"30","Vcan"
6.69350728865325e-163,4.34910305446226,0.378,0.018,1.72732649090986e-158,"30","Gm19299"
3.38626961889927e-147,4.28383881459655,0.315,0.014,8.73860737853145e-143,"30","Susd5"
2.78062336397585e-76,3.54296394534273,0.305,0.024,7.17567665307609e-72,"31","B230323A14Rik"
1.73797174518915e-77,3.01624817884033,0.733,0.135,4.48500988563513e-73,"31","Slc6a11"
2.89777596297765e-43,2.88372466706609,0.257,0.028,7.47800065006012e-39,"31","Gm41492"
6.74961568690925e-61,2.86798890820266,0.581,0.1,1.7418058241638e-56,"31","Aldh1a1"
7.86670291159142e-46,2.80924428673039,0.362,0.051,2.03008135336528e-41,"31","Eva1a"
2.34487287099994e-95,2.80685626915798,0.619,0.074,6.05117893090244e-91,"31","Atp13a4"
8.90670795157796e-35,2.80426696834831,0.257,0.035,2.29846505398421e-30,"31","Cbs"
2.45956034984603e-80,2.75195426736414,0.6,0.082,6.34714143881268e-76,"31","Acsbg1"
3.06149367780741e-125,2.71212753873118,0.838,0.105,7.9004905849498e-121,"31","Gm6145"
4.71300667964914e-96,2.69965850639859,0.771,0.114,1.21623850375026e-91,"31","Slc39a12"
0,7.36128995276794,0.554,0.006,0,"32","Gna14"
0,6.762095246148,0.327,0.003,0,"32","Nkx2-1"
0,6.64808848583112,0.861,0.018,0,"32","Sfta3-ps"
0,6.13132216221857,0.307,0.004,0,"32","Pthlh"
3.03096605903043e-196,5.61723270944058,0.257,0.006,7.82171101193392e-192,"32","Hmcn2"
0,5.58871319347056,0.515,0.015,0,"32","Adamts5"
0,5.58497620662277,0.733,0.023,0,"32","Moxd1"
4.0821639002946e-199,5.42863702027945,0.317,0.01,1.05344321611002e-194,"32","Gm31218"
5.4283834148526e-146,5.27007861615302,0.99,0.17,1.40084862403686e-141,"32","Il1rapl2"
4.37462816302125e-246,5.01082066954574,0.644,0.033,1.12891654374927e-241,"32","Igfbp4"
0,9.79572571743528,0.975,0.005,0,"33","D130079A08Rik"
0,8.67459893152842,0.741,0.006,0,"33","D130009I18Rik"
0,8.63914293462781,0.556,0.002,0,"33","Pou4f1"
0,8.32387857002145,0.37,0.001,0,"33","Chrnb4"
0,8.29788336148851,0.37,0.002,0,"33","Gpr151"
0,8.01402330743467,0.432,0.003,0,"33","Gm40999"
0,7.69161035452194,0.444,0.003,0,"33","Chrna3"
0,7.66442234307616,0.494,0.004,0,"33","Gm12130"
0,7.64580666490882,0.358,0.002,0,"33","Gng8"
0,6.79780975835387,0.284,0.003,0,"33","Htr5b"
0,7.78094457393542,0.455,0.006,0,"34","Igfbpl1"
2.42052440238713e-127,7.70761830661511,0.291,0.007,6.24640527280023e-123,"34","Gm29260"
1.26409302454222e-250,7.23282489525577,0.273,0.003,3.26211845913364e-246,"34","Top2a"
8.96794777816185e-166,6.26133330367699,0.745,0.039,2.31426860363245e-161,"34","2610307P16Rik"
6.24514262263686e-142,5.84841020694167,0.345,0.009,1.61162150519767e-137,"34","Cdca7"
1.26397174813573e-46,4.85396973228357,0.291,0.02,3.26180549323907e-42,"34","Gm17750"
8.45850708969575e-62,4.58394212302881,0.545,0.054,2.18280233956689e-57,"34","Sox4"
2.79332699878677e-52,4.56540023434264,0.345,0.025,7.20845965306913e-48,"34","Dlx1"
1.01689077342856e-47,4.43652401370553,0.709,0.127,2.62418832990974e-43,"34","Dlx6os1"
6.8145321487143e-54,4.26215356052135,0.4,0.032,1.75855816629721e-49,"34","St8sia2"
